concept_id,male_range_low,male_range_high,female_range_low,female_range_high
3004501,70,125,70,125
3005131,70,125,70,125
3000483,70,125,70,125
3034962,70,125,70,125
3028288,,129,,129
3028437,,129,,129
3009966,,129,,129
3001501,,129,,129
3004410,,6.5,,6.5
3007070,40,1000,40,1000
3027114,,239,,239
42869452,-1,,-1,
3022192,,199,,199
3016723,0.74,1.35,0.59,1.04
3000963,13.5,,12,
3018311,10,20,10,20
3023314,38.3,48.6,35.5,44.9
3020416,4.7,6.1,4.2,5.4
3026361,4.7,6.1,4.2,5.4
40765040,30,,30,
3020149,30,,30,
3006923,7,55,7,55
3045716,,16,,16
3035995,30,120,30,120
3009596,2,30,2,30
3012030,26,34,26,34
3014576,96,106,96,106
3034426,10,13,10,13
3009744,33,37,33,37
3023599,80,100,80,100
3013721,8,33,8,33
3024929,150,350,150,350
3000905,4.5,11,4.5,11
36303797,60,1000,60,1000
3053283,60,1000,60,1000
36306178,60,1000,60,1000
40764999,60,1000,60,1000
3049187,60,1000,60,1000
3030354,60,1000,60,1000
3006906,8.2,10.2,8.2,10.2
3022217,,1.1,,1.1
3032080,,1.1,,1.1
3020509,1,2.2,1,2.2
3015632,20,29,20,29
3000034,,30,,30
3010457,,6,,6
3019550,135,145,135,145
3000285,135,145,135,145
3019170,.5,5,.5,5
3019762,.5,5,.5,5
3009201,.5,5,.5,5
3020630,6,8.3,6,8.3
3023103,3.6,5.2,3.6,5.2
3005673,,6.5,,6.5
3024128,.1,1.2,.1,1.2
3011948,2,8,2,8
3034485,,30,,30
3043111,7,12,7,12
3013603,,4,,4
3021447,35,45,35,45
3000185,20,50,20,50
3013682,7,20,7,20
3001122,12,300,12,150
3011564,,.9,,.9
3044491,,129,,129
3013707,-1,22,-1,29
3015183,-1,22,-1,29
3023884,2,1000,2,1000
3011163,0,5,0,5
3037121,-1,15,-1,15
3037072,.2,1,.2,1
3002400,65,176,50,170
3002030,20,40,20,40
3001110,44,147,44,147
3018677,21,35,21,35
3022621,4.6,8,4.6,8
3011960,,100,,100
3017732,1.8,7.8,1.8,7.8
3023895,,.9,,.9
3008893,300,1000,15,70
3021044,240,450,240,450
3007220,20,395,20,207
3001420,1.7,2.2,1.7,2.2
3000330,1.005,1.030,1.005,1.030
3008598,.9,2.3,.9,2.3
3001784,25,,25,
3037556,,7,,6
3011904,2.8,4.5,2.8,4.5
3002109,.5,3,.5,3
3018010,40,73,40,73